333: [1, 20.360926417400755]
334: [1, 21.207930623412942]
335: [1, 21.92615579365299]
336: [1, 22.370026039010288]
337: [1, 22.832664683673887]
338: [1, 23.13877037927628]
339: [1, 23.313168032426336]
340: [1, 23.38113692182173]
341: [1, 23.197197716582004]
342: [1, 21.166037658300286]
343: [1, 17.832947550817526]
344: [1, 15.01625089897788]
345: [1, 11.34296969169416]
346: [1, 8.097620234192553]
347: [1, 5.443729278314166]
348: [1, 3.8683846743648127]
349: [1, 2.304046967167681]
350: [1, 1.267268274118098]
351: [1, 0.6339697728980004]
352: [1, 0.34701469351010605]
353: [1, 0.12878819957892754]
354: [1, 0.02591092631234148]
355: [1, 0.0]
356: [1, 0.0]
357: [1, 0.0]
358: [2, 0.6339394272310855]
359: [2, 1.5483178799444508]
360: [2, 2.2510969421988376]
361: [2, 3.1970935372450247]
362: [2, 4.147841566024197]
363: [2, 5.100490462387447]
364: [2, 6.05330093633044]
365: [2, 6.76684959209461]
366: [2, 7.7068558378867]
367: [2, 8.613684072506786]
368: [2, 9.452245798803755]
369: [2, 10.006464990180712]
370: [2, 10.596674494024368]
371: [2, 10.95714547848805]
372: [2, 11.030389052748026]
373: [2, 10.872970302466479]
374: [2, 10.367487853444992]
375: [2, 9.535856753050169]
376: [2, 8.423274854177821]
377: [2, 7.451712264832386]
378: [2, 6.057717876728845]
379: [2, 4.658366277422532]
380: [2, 3.3652911983743703]
381: [2, 2.5197053577157362]
382: [3, 1.35101644357487]
383: [3, 1.355024488617078]
384: [3, 1.5301341389985332]
385: [3, 1.7387370755023943]
386: [3, 2.079272890383982]
387: [3, 2.4518210415253874]
388: [3, 2.8209361169015965]
389: [3, 3.077947105704896]
390: [3, 3.3729716026518837]
391: [3, 3.5889412106935485]
392: [3, 3.7003175470313217]
393: [3, 3.7056889426108186]
394: [3, 3.614569877256386]
395: [3, 3.4476697485055747]
396: [3, 3.2722003089030642]
397: [3, 3.1805927658001525]
398: [3, 3.1605870004295316]
399: [3, 3.2846682885641143]
400: [3, 3.5506057802801405]
401: [3, 3.8997544670933664]
402: [3, 4.675215299130864]
403: [3, 5.576315831175662]
404: [3, 6.614389374872938]
405: [3, 7.439777878810862]
406: [3, 8.585794030414863]
407: [3, 9.765913102436315]
408: [3, 10.960135094065516]
409: [3, 11.856581390694576]
410: [4, 9.868870265127175]
411: [4, 11.048945120433793]
412: [4, 12.248932993696783]
413: [4, 13.14487855304479]
414: [4, 14.324700701167089]
415: [4, 15.481871089753145]
416: [4, 16.61211153156756]
417: [4, 17.437717009402878]
418: [4, 18.507100145159345]
419: [4, 19.53772166783099]
420: [4, 20.526108693904735]
421: [4, 21.245900307144456]
422: [4, 22.190817792937352]
423: [4, 23.125121950136336]
424: [4, 24.162454953757123]
425: [4, 24.920508962784407]
426: [4, 25.901853886659065]
427: [4, 26.847404084704902]
428: [4, 27.75561462383369]
429: [3, 22.990328124641824]
430: [3, 23.892187192617133]
431: [3, 24.765879407648388]
432: [2, 15.701872304161137]
433: [2, 16.339978252424725]
434: [2, 17.186692338769674]
435: [2, 18.023957637519192]
436: [2, 18.965892807791146]
437: [2, 19.752558861435823]
438: [2, 20.786593367193365]
439: [2, 21.798757785738843]
440: [2, 22.784235189241805]
441: [2, 23.167925554267036]
442: [2, 23.671605771315292]
443: [2, 24.162755444188587]
444: [2, 24.66832599643662]
445: [2, 25.03918264889416]
446: [2, 25.51137460553667]
447: [2, 25.953799785270952]
448: [2, 26.362110512874626]
449: [2, 26.65969027698811]
450: [2, 27.03489822587856]
451: [2, 27.419936557549082]
452: [2, 27.81800368543392]
453: [2, 28.130280995594845]
454: [2, 28.58972326428747]
455: [2, 29.08098438453932]
456: [2, 29.572703774497654]
457: [2, 30.03211148489335]
458: [2, 30.857835053771172]
459: [2, 31.61800528143065]
460: [2, 32.31359252941659]
461: [2, 32.79448845339753]
462: [1, 34.27803927979094]
463: [1, 34.770649955091244]
464: [1, 35.20998072216732]
465: [1, 35.50693283549573]
466: [1, 35.86260530088295]
467: [1, 36.17606341298]
468: [1, 36.451394016497964]
469: [1, 36.635234284104996]
470: [1, 36.85312975876064]
471: [1, 37.04310339890533]
472: [1, 37.208379556399564]
473: [1, 37.317908826522554]
474: [1, 37.446871406970736]
475: [0, 0]
476: [0, 0]
477: [0, 0]
478: [0, 0]
479: [0, 0]
480: [0, 0]
481: [0, 0]
482: [0, 0]
483: [0, 0]
484: [0, 0]
485: [0, 0]
486: [0, 0]
487: [0, 0]
488: [0, 0]
489: [0, 0]
490: [0, 0]
491: [0, 0]
492: [0, 0]
493: [0, 0]
494: [0, 0]
495: [0, 0]
496: [0, 0]
497: [0, 0]
498: [0, 0]
499: [0, 0]
500: [0, 0]
501: [0, 0]
502: [0, 0]
503: [0, 0]
504: [0, 0]
505: [0, 0]
506: [0, 0]
507: [0, 0]
508: [0, 0]
509: [0, 0]
510: [0, 0]
511: [0, 0]
512: [0, 0]
513: [0, 0]
514: [0, 0]
515: [0, 0]
516: [0, 0]
517: [0, 0]
518: [0, 0]
519: [0, 0]
520: [0, 0]
521: [0, 0]
522: [0, 0]
523: [0, 0]
524: [0, 0]
525: [0, 0]
526: [0, 0]
527: [0, 0]
528: [0, 0]
529: [0, 0]
530: [0, 0]
531: [0, 0]
532: [0, 0]
533: [0, 0]
534: [0, 0]
535: [0, 0]
536: [0, 0]
537: [0, 0]
538: [0, 0]
539: [0, 0]
540: [0, 0]
541: [0, 0]
542: [0, 0]
543: [0, 0]
544: [0, 0]
545: [0, 0]
546: [0, 0]
547: [0, 0]
548: [0, 0]
549: [0, 0]
550: [0, 0]
551: [0, 0]
552: [0, 0]
553: [0, 0]
554: [0, 0]
555: [0, 0]
556: [0, 0]
557: [0, 0]
558: [0, 0]
559: [0, 0]
560: [0, 0]
561: [0, 0]
562: [0, 0]
563: [0, 0]
564: [0, 0]
565: [0, 0]
566: [0, 0]
567: [0, 0]
568: [0, 0]
569: [0, 0]
570: [0, 0]
571: [0, 0]
572: [0, 0]
573: [0, 0]
574: [0, 0]
575: [0, 0]
576: [0, 0]
577: [0, 0]
578: [0, 0]
579: [0, 0]
580: [0, 0]
581: [0, 0]
582: [0, 0]
583: [0, 0]
584: [0, 0]
585: [0, 0]
586: [0, 0]
587: [0, 0]
588: [0, 0]
589: [0, 0]
590: [0, 0]
591: [0, 0]
592: [0, 0]
593: [0, 0]
594: [0, 0]
595: [0, 0]
596: [0, 0]
597: [0, 0]
598: [0, 0]
599: [0, 0]
600: [0, 0]
601: [0, 0]
602: [0, 0]
603: [0, 0]
604: [0, 0]
605: [0, 0]
606: [0, 0]
607: [0, 0]
608: [1, 2.0277895472591445]
609: [2, 2.058724661570435]
610: [2, 4.466518513269796]
611: [2, 6.88191897058253]
612: [3, 6.296463827108253]
613: [3, 7.837837006563783]
614: [3, 9.867576684037198]
615: [3, 11.76294244918284]
616: [3, 13.39721329731138]
617: [3, 14.374255722635215]
618: [3, 15.278875348072631]
619: [3, 15.736145962102404]
620: [3, 15.838015842173526]
621: [3, 15.753029889291094]
622: [3, 15.501734570326594]
623: [3, 15.138101205284563]
624: [3, 14.669522483973882]
625: [3, 14.236441930619716]
626: [3, 13.523276003457674]
627: [3, 12.62922831765799]
628: [3, 11.548235539672799]
629: [3, 10.63047913278806]
630: [3, 9.311630721102977]
631: [3, 7.962293115065284]
632: [3, 6.682139330142918]
633: [3, 5.826965501564992]
634: [3, 4.892019163801892]
635: [3, 4.240559394932528]
636: [3, 3.8951854198295743]
637: [3, 3.83272201478109]
638: [3, 3.985368473361615]
639: [3, 4.3637359391103185]
640: [3, 4.916537326872412]
641: [3, 5.417268567376261]
642: [3, 6.169014650212245]
643: [3, 6.9880087520935055]
644: [3, 7.846287808735843]
645: [3, 8.504295640664933]
646: [3, 9.37703308837993]
647: [3, 10.228189601789405]
648: [3, 11.080936006837975]
649: [3, 11.698509805428841]
650: [3, 12.5345930547027]
651: [3, 13.401815558999527]
652: [3, 14.283541605734008]
653: [3, 15.1048741208674]
654: [3, 15.989985668821724]
655: [3, 16.88791341271375]
656: [3, 17.75435313469927]
657: [3, 18.390888675430926]
658: [3, 19.22040187516335]
659: [3, 20.016176161566495]
660: [3, 20.77933431571277]
661: [3, 21.333031171745812]
662: [3, 22.05230728946451]
663: [3, 22.763136216457593]
664: [3, 23.485365557889573]
665: [3, 24.053078619750217]
666: [3, 24.8727478749093]
667: [3, 25.781469014400866]
668: [3, 26.810010466077284]
669: [3, 27.629506503919536]
670: [3, 28.891853078621715]
671: [3, 30.104551801374864]
672: [3, 31.179463392403793]
673: [3, 31.861268433765375]
674: [3, 18.87657782085556]
675: [3, 19.265374092369314]
676: [2, 9.277945118744164]
677: [2, 9.01861380867525]
678: [2, 8.429815925609471]
679: [2, 7.672786441276032]
680: [2, 6.899485297056259]
681: [2, 6.406432128415224]
682: [2, 5.934778883015643]
683: [2, 5.710522658854345]
684: [2, 5.740619217942989]
685: [2, 5.923951994293217]
686: [2, 6.367417484009724]
687: [2, 7.015764942086752]
688: [2, 7.828489561434455]
689: [2, 8.42699319578675]
690: [2, 9.273394675219809]
691: [2, 10.306654620378955]
692: [2, 11.44527568328519]
693: [2, 12.201953028402741]
694: [2, 13.093834412874903]
695: [2, 14.20013941931937]
696: [2, 15.58267335573094]
697: [2, 16.655684897539054]
698: [2, 15.11853602963366]
699: [2, 16.140661254412464]
700: [2, 17.986916577179684]
701: [2, 19.339248821234268]
702: [2, 20.857548143698068]
703: [2, 21.79474797843068]
704: [2, 22.090154139337955]
705: [2, 21.968428217512077]
706: [2, 21.548483107745486]
707: [2, 21.072022332897358]
708: [2, 20.73483779757075]
709: [2, 20.638359109229125]
710: [2, 20.76338983527206]
711: [2, 21.167056288679323]
712: [2, 21.74487824352889]
713: [2, 22.33105456526318]
714: [2, 23.313191767635182]
715: [2, 24.367909374135824]
716: [2, 25.45860349641664]
717: [2, 26.273014850693787]
718: [2, 27.307773368680227]
719: [1, 0.0]
720: [1, 0.0]
721: [1, 0.0]
722: [1, 0.0]
723: [1, 0.0]
724: [1, 0.0]
725: [1, 0.0]
726: [1, 0.0]
727: [1, 0.0]
728: [1, 0.0]
729: [1, 0.0]
730: [1, 0.0]
731: [1, 0.0]
732: [1, 0.0]
733: [1, 0.0]
734: [1, 0.0]
735: [1, 0.0]
736: [1, 0.0]
737: [1, 0.0]
738: [1, 0.0]
739: [1, 0.0]
740: [1, 0.0]
741: [1, 0.0]
742: [1, 0.0]
743: [1, 0.0]
744: [1, 0.0]
745: [1, 0.0]
746: [1, 0.0]
747: [1, 0.0]
748: [1, 0.0]
749: [1, 0.0]
750: [1, 0.0]
751: [1, 0.0]
752: [1, 0.0]
753: [1, 0.0]
754: [1, 0.0]
755: [1, 0.0]
756: [1, 0.0]
757: [1, 0.0]
